scenario_id,iteration,network,source,destination,transmitter_type,modulation,baud_rate_gbaud,bit_rate_gbps,launch_power_dbm,channel_pattern,channel_number,frequency_thz,channel_power_dbm,osnr_signal_bw_db,snr_nli_signal_bw_db,gsnr_signal_bw_db
iter-2-scenario-36,2,NDFF,bristol,bradley stoke,voyager,QPSK,32.0,100.0,-4.5,00001011,7.0,194.225,1.79,31.9,23.2,22.65
iter-2-scenario-36,2,NDFF,bristol,bradley stoke,voyager,QPSK,32.0,100.0,-4.5,00001011,8.0,194.2625,1.79,31.9,23.42,22.84
iter-1-scenario-13,1,NDFF,bristol,bradley stoke,voyager,QPSK,32.0,100.0,-5.5,00001100,5.0,194.15,0.79,31.47,25.92,24.86
iter-1-scenario-13,1,NDFF,bristol,bradley stoke,voyager,QPSK,32.0,100.0,-5.5,00001100,6.0,194.1875,0.79,31.47,25.92,24.85
iter-2-scenario-37,2,NDFF,bristol,bradley stoke,voyager,QPSK,32.0,100.0,-5.5,00001100,5.0,194.15,0.79,31.47,25.92,24.86
iter-2-scenario-37,2,NDFF,bristol,bradley stoke,voyager,QPSK,32.0,100.0,-5.5,00001100,6.0,194.1875,0.79,31.47,25.92,24.85
iter-2-scenario-38,2,NDFF,bristol,bradley stoke,voyager,QPSK,32.0,100.0,-5.0,00001100,5.0,194.15,1.29,31.7,24.92,24.1
iter-2-scenario-38,2,NDFF,bristol,bradley stoke,voyager,QPSK,32.0,100.0,-5.0,00001100,6.0,194.1875,1.29,31.69,24.92,24.09
iter-2-scenario-39,2,NDFF,bristol,bradley stoke,voyager,QPSK,32.0,100.0,-4.5,00001100,5.0,194.15,1.79,31.9,23.92,23.28
iter-2-scenario-39,2,NDFF,bristol,bradley stoke,voyager,QPSK,32.0,100.0,-4.5,00001100,6.0,194.1875,1.79,31.9,23.92,23.28
iter-1-scenario-14,1,NDFF,bristol,bradley stoke,voyager,QPSK,32.0,100.0,-5.5,00001101,5.0,194.15,0.79,31.47,25.43,24.47
iter-1-scenario-14,1,NDFF,bristol,bradley stoke,voyager,QPSK,32.0,100.0,-5.5,00001101,6.0,194.1875,0.79,31.47,25.2,24.28
iter-1-scenario-14,1,NDFF,bristol,bradley stoke,voyager,QPSK,32.0,100.0,-5.5,00001101,8.0,194.2625,0.79,31.47,26.23,25.1
iter-2-scenario-40,2,NDFF,bristol,bradley stoke,voyager,QPSK,32.0,100.0,-5.5,00001101,5.0,194.15,0.79,31.47,25.43,24.47
iter-2-scenario-40,2,NDFF,bristol,bradley stoke,voyager,QPSK,32.0,100.0,-5.5,00001101,6.0,194.1875,0.79,31.47,25.2,24.28
iter-2-scenario-40,2,NDFF,bristol,bradley stoke,voyager,QPSK,32.0,100.0,-5.5,00001101,8.0,194.2625,0.79,31.47,26.23,25.1
iter-2-scenario-41,2,NDFF,bristol,bradley stoke,voyager,QPSK,32.0,100.0,-5.0,00001101,5.0,194.15,1.29,31.7,24.43,23.69
iter-2-scenario-41,2,NDFF,bristol,bradley stoke,voyager,QPSK,32.0,100.0,-5.0,00001101,6.0,194.1875,1.29,31.69,24.2,23.49
iter-2-scenario-41,2,NDFF,bristol,bradley stoke,voyager,QPSK,32.0,100.0,-5.0,00001101,8.0,194.2625,1.29,31.69,25.23,24.35
iter-2-scenario-42,2,NDFF,bristol,bradley stoke,voyager,QPSK,32.0,100.0,-4.5,00001101,5.0,194.15,1.79,31.9,23.43,22.86
iter-2-scenario-42,2,NDFF,bristol,bradley stoke,voyager,QPSK,32.0,100.0,-4.5,00001101,6.0,194.1875,1.79,31.9,23.2,22.65
iter-2-scenario-42,2,NDFF,bristol,bradley stoke,voyager,QPSK,32.0,100.0,-4.5,00001101,8.0,194.2625,1.79,31.9,24.23,23.55
iter-1-scenario-15,1,NDFF,bristol,bradley stoke,voyager,QPSK,32.0,100.0,-5.5,00001110,5.0,194.15,0.79,31.47,25.2,24.28
iter-1-scenario-15,1,NDFF,bristol,bradley stoke,voyager,QPSK,32.0,100.0,-5.5,00001110,6.0,194.1875,0.79,31.47,24.55,23.74
iter-1-scenario-15,1,NDFF,bristol,bradley stoke,voyager,QPSK,32.0,100.0,-5.5,00001110,7.0,194.225,0.79,31.47,25.2,24.28
iter-2-scenario-43,2,NDFF,bristol,bradley stoke,voyager,QPSK,32.0,100.0,-5.5,00001110,5.0,194.15,0.79,31.47,25.2,24.28
iter-2-scenario-43,2,NDFF,bristol,bradley stoke,voyager,QPSK,32.0,100.0,-5.5,00001110,6.0,194.1875,0.79,31.47,24.55,23.74
iter-2-scenario-43,2,NDFF,bristol,bradley stoke,voyager,QPSK,32.0,100.0,-5.5,00001110,7.0,194.225,0.79,31.47,25.2,24.28
iter-2-scenario-44,2,NDFF,bristol,bradley stoke,voyager,QPSK,32.0,100.0,-5.0,00001110,5.0,194.15,1.29,31.7,24.2,23.49
iter-2-scenario-44,2,NDFF,bristol,bradley stoke,voyager,QPSK,32.0,100.0,-5.0,00001110,6.0,194.1875,1.29,31.69,23.55,22.93
iter-2-scenario-44,2,NDFF,bristol,bradley stoke,voyager,QPSK,32.0,100.0,-5.0,00001110,7.0,194.225,1.29,31.69,24.2,23.48
iter-2-scenario-45,2,NDFF,bristol,bradley stoke,voyager,QPSK,32.0,100.0,-4.5,00001110,5.0,194.15,1.79,31.9,23.2,22.65
iter-2-scenario-45,2,NDFF,bristol,bradley stoke,voyager,QPSK,32.0,100.0,-4.5,00001110,6.0,194.1875,1.79,31.9,22.55,22.07
iter-2-scenario-45,2,NDFF,bristol,bradley stoke,voyager,QPSK,32.0,100.0,-4.5,00001110,7.0,194.225,1.79,31.9,23.2,22.65
iter-1-scenario-16,1,NDFF,bristol,bradley stoke,voyager,QPSK,32.0,100.0,-5.5,00001111,5.0,194.15,0.79,31.47,24.78,23.94
iter-1-scenario-16,1,NDFF,bristol,bradley stoke,voyager,QPSK,32.0,100.0,-5.5,00001111,6.0,194.1875,0.79,31.47,24.01,23.29
iter-1-scenario-16,1,NDFF,bristol,bradley stoke,voyager,QPSK,32.0,100.0,-5.5,00001111,7.0,194.225,0.79,31.47,24.01,23.29
iter-1-scenario-16,1,NDFF,bristol,bradley stoke,voyager,QPSK,32.0,100.0,-5.5,00001111,8.0,194.2625,0.79,31.47,24.77,23.93
iter-2-scenario-46,2,NDFF,bristol,bradley stoke,voyager,QPSK,32.0,100.0,-5.5,00001111,5.0,194.15,0.79,31.47,24.78,23.94
iter-2-scenario-46,2,NDFF,bristol,bradley stoke,voyager,QPSK,32.0,100.0,-5.5,00001111,6.0,194.1875,0.79,31.47,24.01,23.29
iter-2-scenario-46,2,NDFF,bristol,bradley stoke,voyager,QPSK,32.0,100.0,-5.5,00001111,7.0,194.225,0.79,31.47,24.01,23.29
iter-2-scenario-46,2,NDFF,bristol,bradley stoke,voyager,QPSK,32.0,100.0,-5.5,00001111,8.0,194.2625,0.79,31.47,24.77,23.93
iter-2-scenario-47,2,NDFF,bristol,bradley stoke,voyager,QPSK,32.0,100.0,-5.0,00001111,5.0,194.15,1.29,31.7,23.78,23.13
iter-2-scenario-47,2,NDFF,bristol,bradley stoke,voyager,QPSK,32.0,100.0,-5.0,00001111,6.0,194.1875,1.29,31.69,23.01,22.46
iter-2-scenario-47,2,NDFF,bristol,bradley stoke,voyager,QPSK,32.0,100.0,-5.0,00001111,7.0,194.225,1.29,31.69,23.01,22.45
iter-2-scenario-47,2,NDFF,bristol,bradley stoke,voyager,QPSK,32.0,100.0,-5.0,00001111,8.0,194.2625,1.29,31.69,23.77,23.12
iter-2-scenario-48,2,NDFF,bristol,bradley stoke,voyager,QPSK,32.0,100.0,-4.5,00001111,5.0,194.15,1.79,31.9,22.78,22.28
iter-2-scenario-48,2,NDFF,bristol,bradley stoke,voyager,QPSK,32.0,100.0,-4.5,00001111,6.0,194.1875,1.79,31.9,22.01,21.59
iter-2-scenario-48,2,NDFF,bristol,bradley stoke,voyager,QPSK,32.0,100.0,-4.5,00001111,7.0,194.225,1.79,31.9,22.01,21.58
iter-2-scenario-48,2,NDFF,bristol,bradley stoke,voyager,QPSK,32.0,100.0,-4.5,00001111,8.0,194.2625,1.79,31.9,22.77,22.27
iter-1-scenario-17,1,NDFF,bristol,bradley stoke,voyager,QPSK,32.0,100.0,-5.5,00010000,4.0,194.1125,0.79,31.47,27.95,26.35
iter-2-scenario-49,2,NDFF,bristol,bradley stoke,voyager,QPSK,32.0,100.0,-5.5,00010000,4.0,194.1125,0.79,31.47,27.95,26.35
iter-2-scenario-50,2,NDFF,bristol,bradley stoke,voyager,QPSK,32.0,100.0,-5.0,00010000,4.0,194.1125,1.29,31.7,26.95,25.69
iter-2-scenario-51,2,NDFF,bristol,bradley stoke,voyager,QPSK,32.0,100.0,-4.5,00010000,4.0,194.1125,1.79,31.9,25.95,24.97
iter-1-scenario-18,1,NDFF,bristol,bradley stoke,voyager,QPSK,32.0,100.0,-5.5,00010001,4.0,194.1125,0.79,31.47,27.37,25.94
iter-1-scenario-18,1,NDFF,bristol,bradley stoke,voyager,QPSK,32.0,100.0,-5.5,00010001,8.0,194.2625,0.79,31.47,27.35,25.93
iter-2-scenario-52,2,NDFF,bristol,bradley stoke,voyager,QPSK,32.0,100.0,-5.5,00010001,4.0,194.1125,0.79,31.47,27.37,25.94
iter-2-scenario-52,2,NDFF,bristol,bradley stoke,voyager,QPSK,32.0,100.0,-5.5,00010001,8.0,194.2625,0.79,31.47,27.35,25.93
iter-2-scenario-53,2,NDFF,bristol,bradley stoke,voyager,QPSK,32.0,100.0,-5.0,00010001,4.0,194.1125,1.29,31.7,26.37,25.25
iter-2-scenario-53,2,NDFF,bristol,bradley stoke,voyager,QPSK,32.0,100.0,-5.0,00010001,8.0,194.2625,1.29,31.69,26.35,25.24
iter-2-scenario-54,2,NDFF,bristol,bradley stoke,voyager,QPSK,32.0,100.0,-4.5,00010001,4.0,194.1125,1.79,31.9,25.37,24.5
iter-2-scenario-54,2,NDFF,bristol,bradley stoke,voyager,QPSK,32.0,100.0,-4.5,00010001,8.0,194.2625,1.79,31.9,25.35,24.48
iter-1-scenario-19,1,NDFF,bristol,bradley stoke,voyager,QPSK,32.0,100.0,-5.5,00010010,4.0,194.1125,0.79,31.47,27.19,25.81
iter-1-scenario-19,1,NDFF,bristol,bradley stoke,voyager,QPSK,32.0,100.0,-5.5,00010010,7.0,194.225,0.79,31.47,27.18,25.8
iter-2-scenario-55,2,NDFF,bristol,bradley stoke,voyager,QPSK,32.0,100.0,-5.5,00010010,4.0,194.1125,0.79,31.47,27.19,25.81
iter-2-scenario-55,2,NDFF,bristol,bradley stoke,voyager,QPSK,32.0,100.0,-5.5,00010010,7.0,194.225,0.79,31.47,27.18,25.8
iter-2-scenario-56,2,NDFF,bristol,bradley stoke,voyager,QPSK,32.0,100.0,-5.0,00010010,4.0,194.1125,1.29,31.7,26.19,25.11
iter-2-scenario-56,2,NDFF,bristol,bradley stoke,voyager,QPSK,32.0,100.0,-5.0,00010010,7.0,194.225,1.29,31.69,26.18,25.1
iter-2-scenario-57,2,NDFF,bristol,bradley stoke,voyager,QPSK,32.0,100.0,-4.5,00010010,4.0,194.1125,1.79,31.9,25.19,24.35
iter-2-scenario-57,2,NDFF,bristol,bradley stoke,voyager,QPSK,32.0,100.0,-4.5,00010010,7.0,194.225,1.79,31.9,25.18,24.34
iter-1-scenario-20,1,NDFF,bristol,bradley stoke,voyager,QPSK,32.0,100.0,-5.5,00010011,4.0,194.1125,0.79,31.47,26.7,25.45
iter-1-scenario-20,1,NDFF,bristol,bradley stoke,voyager,QPSK,32.0,100.0,-5.5,00010011,7.0,194.225,0.79,31.47,25.43,24.46
iter-1-scenario-20,1,NDFF,bristol,bradley stoke,voyager,QPSK,32.0,100.0,-5.5,00010011,8.0,194.2625,0.79,31.47,25.54,24.55
iter-2-scenario-58,2,NDFF,bristol,bradley stoke,voyager,QPSK,32.0,100.0,-5.5,00010011,4.0,194.1125,0.79,31.47,26.7,25.45
iter-2-scenario-58,2,NDFF,bristol,bradley stoke,voyager,QPSK,32.0,100.0,-5.5,00010011,7.0,194.225,0.79,31.47,25.43,24.46
iter-2-scenario-58,2,NDFF,bristol,bradley stoke,voyager,QPSK,32.0,100.0,-5.5,00010011,8.0,194.2625,0.79,31.47,25.54,24.55
